id,env,ip_hash,browsers,node_type,cities,standardised_name,nb_of_households,nb_of_users,nb_of_vids
ID5*Kr6Ajn97Ev6GqFrwI-XgDYwct7ViJ3Xg5ss9difGxanXUguAdAaEmvNFuqmcn_Hu,web,3857461664049243890,-,User: ID5,miguel hidalgo,-,1.0,0.0,1.0
ID5*l3nFn8TIGcu6z0HLpOE_5Ef6BIQcz1mRGhYXT-z1ra3XUnnWVk-sGtWU-Peh8hZ_,web,8524583654612759245,-,User: ID5,saltillo,-,1.0,0.0,1.0
ID5*_8l4gax4pNXSf_zVzFGC-i9KuZp0f-SPcqaqUYRFELPXUgKJP20w8iTuRyyaZrfF,web,8524583654612759245,-,User: ID5,saltillo,-,1.0,0.0,1.0
ID5*O6UacWgUxiUWE54lCD3gCusm22qwE4Z_tsrIoUApckPXUp3gwOA6fzqgXiDheY5q,web,8524583654612759245,-,User: ID5,saltillo,-,1.0,0.0,1.0
ID5*nysaGMyaxkyynZ5MrLPgY0-o2wMUnYYWEkTIyOSncirSrpkCu_QUQxuY9hdgi9Dr,web,8524583654612759245,-,User: ID5,saltillo,-,1.0,0.0,1.0
ID5*EwOw-SjlvkDpjGRhHkhLD6J5cWsTtdhYW-97f3kpnyfXUsRw5F8lKTzYhPQsJhqs,web,-7915356298539383255,-,User: ID5,coyoacan,-,1.0,0.0,1.0
ID5*ahhU2jw3GhDLhYVEOMTAAwAWwKPfTjVn5lc2tSNXbNLXUhlulNh06uzhAi5GZAj4,web,-6416507265099275542,-,User: ID5,puebla,-,1.0,0.0,1.0
ID5*5l943LBwNhZHwqlCtIPsBYxR7KVTCRlhahAas68QQNTWp4bLAJD_2aRLTIEBfnaZ,web,-6416507265099275542,-,User: ID5,puebla,-,1.0,0.0,1.0
ID5*CIuwYC-ZsMqJ7W_gWXJuMsouxJKrPh_WMbLyhI3n-5jXUnS5DYjV8tHIhjECLRrq,web,-8635818042210841087,-,User: ID5,villa nicolas romero,-,1.0,0.0,1.0
ID5*N6gelBC6Hj62zsEUZlHAxvUNamaUHbEiDpFccLLEVWzXUm4RL1LyxKsafBzz1TCn,web,-8635818042210841087,-,User: ID5,villa nicolas romero,-,1.0,0.0,1.0
ID5*Z5n4VECL-P7m_yfUNmAmBqU8jKbELFfiXqC6sOL1s6zXUuMt8OnJXJoEseSZg0HW,web,-8635818042210841087,-,User: ID5,villa nicolas romero,-,1.0,0.0,1.0
ID5*uXi1aZ5qtcM4Hmrp6IFrO3vdwZsazRrfgEH3jTwU_pHXUuCO7auWu9O2rE7L0_Ol,web,-8635818042210841087,-,User: ID5,villa nicolas romero,-,1.0,0.0,1.0
ID5*OOlQXR_7UPe5j4_daRCOD_pMJK-bXP_rAdASub2FG6XXUl50Jd61-ttPWtwJW5WT,web,-8635818042210841087,-,User: ID5,villa nicolas romero,-,1.0,0.0,1.0
ID5*DkAdeylSHdGPJsL7X7nDKczlaYmt9bLNN3lfn4ssVoPXUj9vh0e94ygNv_TNqIBj,web,-8635818042210841087,-,User: ID5,villa nicolas romero,-,1.0,0.0,1.0
ID5*VJMZvHOBGRbV9cY8BWrH7pY2bU73JrYKbapbWNH_UkTXUjCk1e-XEq00KHTOQ3NY,web,-8635818042210841087,-,User: ID5,villa nicolas romero,-,1.0,0.0,1.0
ID5*97c-xdClPm920eFFpk7glzUSSjdUApFzzo58IXLbdT3XUiZxtBXl9mM-c6wU9GsF,web,-8635818042210841087,-,User: ID5,villa nicolas romero,-,1.0,0.0,1.0
ID5*sCaWEpc0lrgxQEmS4d9IQHKD4uATkzmkiR_U9jVK3erXUlUG0Y2iyGM_0VS8LDeQ,web,-8635818042210841087,-,User: ID5,villa nicolas romero,-,1.0,0.0,1.0
ID5*nl11a7lPdcEfO6rrz6SrOVz4AZk96Nrdp2Q3jxsxPpPXUkcf0eUQ-3Tzgro76sJW,web,-8635818042210841087,-,User: ID5,villa nicolas romero,-,1.0,0.0,1.0
ID5*zaJApOqwQA5MxJ8knFue9g8HNFZuF-8S9JsCQEjOC1zXUovArJCRJkZF2FUHtGi5,web,-8635818042210841087,-,User: ID5,villa nicolas romero,-,1.0,0.0,1.0
ID5*-4BLGdySS7N65pSZqnmVSzklP-tYNeSvwrkJ_X7sAOHXUti2tAJ8Zwdjf4WAsS3O,web,-8635818042210841087,-,User: ID5,villa nicolas romero,-,1.0,0.0,1.0
ID5*X-vPLXj5z4fejRCtDhIRf51Ou9_8XmCbZtKNydqHhNXXUlrhT1ZmtWQ9NomTRnc1,web,-8635818042210841087,-,User: ID5,villa nicolas romero,-,1.0,0.0,1.0
ID5*y0CT4-xSk0lKJkxjmrlNsQnl5xFo9TxV8nnRB04s2BvXUn4XwuSo2HJyEqwle8ek,web,-8635818042210841087,-,User: ID5,villa nicolas romero,-,1.0,0.0,1.0
ID5*CWUx4y53MUmIA-5jWJzvscvARRGq0J5VMFxzB4wJehvXUgDyOrJSOXtqVZxElUdl,web,-8635818042210841087,-,User: ID5,villa nicolas romero,-,1.0,0.0,1.0
ID5*X5gyBniKMqze_u2GDmHsVJ09RvT8LZ2wZqFw4tr0ef7XUt36Y1QHZ-sLhjKdCCnP,web,-8635818042210841087,-,User: ID5,villa nicolas romero,-,1.0,0.0,1.0
ID5*TKvCZGu5ws7NzR3kHVIcNo4OtpbvHm3SdZKAgMnHiZzXUtPMllKtiTj9kJXnY67t,web,-8635818042210841087,-,User: ID5,villa nicolas romero,-,1.0,0.0,1.0
ID5*oyOdvYQxnRciRUI98tpD72GG6U8AljILmhrfWSZP1kXXUldgrhSxvLKvb4njStmW,web,-8635818042210841087,-,User: ID5,villa nicolas romero,-,1.0,0.0,1.0
ID5*ZJI0S0OANOHl9OvLNWvqGaY3QLnHJ5v9Xat2r-H-f7PXUlO_ka-n_73b99mLhUZa,web,-8635818042210841087,-,User: ID5,villa nicolas romero,-,1.0,0.0,1.0
ID5*GpeyTj2FsuSb8W3OS25sHNgyxry5Ih34I67wqp_7-bbXUjl5u7vitKIzRZuSozC3,web,-8635818042210841087,-,User: ID5,villa nicolas romero,-,1.0,0.0,1.0
